,title,date_published,duration,avg_vote,votes,reviews_from_users,metascore,year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western
0,12 Hour Shift ,2 October 2020 ,86,5.3,1998.0,38,63.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2 Hearts ,16 October 2020 ,101,5.1,169.0,7,29.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2067 ,2 October 2020 ,114,4.8,4089.0,191,39.0,2020.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,A Babysitter's Guide to Monster Hunting ,15 October 2020 ,98,5.3,2703.0,50,31.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,A Fall from Grace ,17 January 2020 ,120,5.9,11334.0,391,34.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,A Nice Girl Like You ,17 July 2020 ,94,5.2,2229.0,31,41.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,After We Collided ,23 October 2020 ,105,5.0,15485.0,413,14.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,All Day and a Night ,1 May 2020 ,121,5.8,2915.0,57,60.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,All My Life ,4 December 2020 ,91,6.3,737.0,28,39.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,All Together Now ,28 August 2020 ,92,6.4,2866.0,41,64.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,All the Bright Places ,28 February 2020 ,107,6.5,19853.0,238,61.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,All the Dead OnesÂ ,10 December 2020 ,120,5.6,177.0,0,48.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Alone ,18 September 2020 ,98,6.1,6478.0,153,70.0,2020.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13,Ammonite ,13 November 2020 ,120,6.5,4566.0,83,73.0,2020.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Amulet ,24 July 2020 ,99,4.7,2461.0,79,64.0,2020.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,An American Pickle ,6 August 2020 ,88,5.7,14837.0,214,58.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,And Tomorrow the Entire WorldÂ ,14 October 2020 ,111,6.0,332.0,0,77.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Another Round ,18 December 2020 ,117,7.8,22303.0,111,81.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Antebellum ,18 September 2020 ,105,5.6,14384.0,479,45.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Apples ,4 March 2021 ,91,6.3,494.0,3,83.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Archenemy ,11 December 2020 ,90,5.0,1036.0,35,57.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Archive ,10 July 2020 ,109,6.3,10783.0,268,67.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Arkansas ,5 May 2020 ,117,6.0,8696.0,165,55.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
